county,cases,deaths,Population Density (people/mi^2),Diabetes Prevalence 2012 Both Sexes (%),Overall sufficient physical activity  prevalence 2011* (%),Overall obesity prevalence 2011* (%),Heavy Alcohol Consumption (%) 2012 (Heavy- past 30 days 1drink/day for women 2 for men),Binge Alcohol Consumption (%) 2012  (Binge- past 30 days >4 drinks one occasion >5 for men),,LandArea (mi^2),Population,"Male sufficient physical activity  prevalence, 2011* (%)","Female sufficient physical activity  prevalence, 2011* (%)","Male obesity  prevalence, 2011* (%)","Female obesity prevalence, 2011* (%)"
Bernalillo NM,7286,180,581.056153,13.11,57.3,29.1,6.9,15.9,,1168.77,"679,121",58.3,56.3,27.6,30.5
Catron,9,1,0.508984067,13.56,57.55,36.1,9.5,18.2,,6929.49,"3,527",58.4,56.7,34.9,37.2
Chaves,1428,13,10.63516361,16.83,50.6,39.6,7.3,16.5,,6075.6,"64,615",53.6,47.6,36.8,42.3
Cibola,780,21,5.872872941,17.7,52.35,39.7,7.1,17.5,,4542.07,"26,675",54.3,50.4,35.4,44.0
Colfax,40,1,3.168811318,14.68,57.55,32.6,7.1,16.9,,3768.29,"11,941",59.5,55.6,32.4,32.8
Curry,1015,7,34.77389933,16.18,49.25,38.3,5.8,14.5,,1407.78,"48,954",50.6,47.9,36.7,39.8
De Baca,1,0,0.74892246,16.33,50,38.6,4.3,12.4,,2334.02,"1,748",51.3,48.7,36.7,40.5
Dona Ana,3851,60,57.19577025,16.04,55.15,38.0,7.4,19.0,,3814.88,"218,195",56.5,53.8,36.2,39.7
Eddy,975,14,13.92634237,16.75,49.35,39.2,6.4,15.4,,4197.8,"58,460",51.1,47.6,37.5,40.9
Grant NM,136,2,6.804291558,14.52,58.8,33.5,9.2,20.1,,3967.79,"26,998",61.8,55.8,31.5,35.5
Guadalupe,36,1,1.418294682,19.71,56.85,35.1,6.9,17.5,,3031.81,"4,300",58.9,54.8,33.3,36.9
Harding NM,1,0,0.293965477,15.46,59.4,34.4,5.7,15.2,,2126.1,625,62.3,56.5,33.5,35.2
Hidalgo,104,2,1.218153328,16.56,55.5,36.6,7.6,17.9,,3446.2,"4,198",56.7,54.3,33.0,40.1
Lea NM,1636,27,16.17311399,17.28,45.3,41.9,6.5,16.6,,4394.33,"71,070",45.1,45.5,41.5,42.3
Lincoln NM,244,3,4.050798487,13.75,56.6,32.2,8.5,16.9,,4831.64,"19,572",58.0,55.2,31.8,32.6
Los Alamos,36,0,177.1284865,8.82,68.5,22.6,5.0,12.4,,109.35,"19,369",71.4,65.6,22.5,22.7
Luna,464,8,7.994941831,17.13,49.2,39.8,8.2,18.5,,2965.5,"23,709",51.1,47.3,36.8,42.7
McKinley NM,4384,258,13.08137297,22.63,53.75,42.9,6.2,16.7,,5455.62,"71,367",59.0,48.5,37.6,48.2
Mora,7,0,2.338125776,18.88,63.15,29.4,8.9,18.0,,1933.6,"4,521",66.8,59.5,27.3,31.5
Otero,1203,13,10.18280465,16.08,53.75,36.6,7.1,16.0,,6627.84,"67,490",58.7,48.8,33.4,39.8
Quay,77,2,2.863656236,16.33,50.55,38.7,4.8,12.6,,2881.98,"8,253",52.6,48.5,37.0,40.3
Rio Arriba,410,14,6.600661745,18.3,54.85,33.6,7.1,17.1,,5896.53,"38,921",57.5,52.2,30.5,36.6
Roosevelt NM,327,4,7.535395995,15.65,48.9,39.8,5.7,14.3,,2455.08,"18,500",50.5,47.3,37.9,41.6
Sandoval,1455,42,39.50520237,13.85,55.15,37.5,5.9,13.8,,3714.65,"146,748",56.0,54.3,36.0,39.0
San Juan,3431,201,22.38030155,15.97,59.25,32.0,6.8,16.5,,5538.71,"123,958",62.4,56.1,29.3,34.6
San Miguel,111,0,5.759501689,18.8,58.45,31.6,7.5,15.6,,4736,"27,277",60.5,56.4,30.0,33.1
Santa Fe,1145,7,78.68233078,12.17,65.6,22.3,8.1,16.7,,1910.95,"150,358",68.0,63.2,21.0,23.6
Sierra,54,1,2.547095659,14.94,53.1,35.2,9.2,17.7,,4236.59,"10,791",55.2,51.0,35.0,35.4
Socorro,126,6,2.5021582,17.63,51.8,36.5,7.5,18.3,,6649.06,"16,637",50.6,53.0,33.0,40.0
Taos,151,4,14.84191095,14.77,60.8,29.3,7.9,17.6,,2204.77,"32,723",64.1,57.5,27.1,31.5
Torrance,128,1,4.62060309,15.43,55,33.4,7.1,15.8,,3346.1,"15,461",56.5,53.5,31.6,35.1
Union NM,39,2,1.059514487,15.12,54.5,35.4,6.9,18.9,,3831,"4,059",55.9,53.1,34.0,36.7
Valencia NM,666,4,71.78575106,17.7,54.05,37.0,6.9,15.0,,1068.29,"76,688",53.3,54.8,33.6,40.4
Albany NY,3251,123,572.6770015,12.37,57.15,33.1,9.3,20.3,,533.47,"305,506",60.3,54.0,31.0,35.1
Allegany,131,4,44.55475215,13.65,53.25,37.9,9.0,19.4,,1034.48,"46,091",55.0,51.5,39.4,36.4
Broome,2239,86,266.230608,13.36,56.95,35.3,8.9,21.9,,715.5,"190,488",59.1,54.8,35.2,35.4
Cattaraugus,327,13,57.5627869,14.06,52.5,38.5,9.9,21.2,,1322.33,"76,117",55.4,49.6,39.7,37.3
Cayuga,237,3,98.30921906,13.69,55.25,37.3,9.0,21.2,,778.93,"76,576",57.5,53.0,38.4,36.2
Chautauqua,656,4,84.5912851,14.3,54.05,38.0,8.9,20.4,,1500.19,"126,903",58.4,49.7,37.6,38.4
Chemung,855,7,203.1498746,13.57,53.55,37.9,8.5,20.5,,410.81,"83,456",54.9,52.2,36.1,39.7
Chenango,267,6,52.52458943,13.35,54.1,37.7,9.6,21.1,,898.76,"47,207",57.1,51.1,37.9,37.5
Clinton NY,177,5,72.01077231,12.31,55.6,35.2,9.7,21.6,,1117.68,"80,485",57.2,54.0,35.7,34.7
Columbia NY,611,47,91.71551086,12.22,53.55,34.8,10.1,21.3,,648.32,"59,461",53.9,53.2,34.3,35.2
Cortland,260,1,94.86790948,13.4,56.8,36.1,9.8,22.2,,501.55,"47,581",59.5,54.1,36.4,35.7
Delaware NY,144,5,30.06246126,13.11,55.1,36.2,9.9,20.5,,1468.11,"44,135",56.6,53.6,35.4,36.9
Dutchess NY,5222,161,356.4420968,12.39,57.9,33.0,8.6,19.9,,825.43,"294,218",60.5,55.3,34.1,31.8
Erie NY,11953,636,748.7566933,13.27,52.9,36.3,8.6,21.9,,1226.97,"918,702",55.7,50.1,35.6,36.9
Essex NY,184,14,19.2448164,12.23,59.4,33.8,10.6,20.9,,1916.62,"36,885",60.3,58.5,33.5,34.1
Franklin NY,71,1,29.46734687,13.88,53.65,39.1,9.5,21.9,,1697.54,"50,022",56.3,51.0,37.4,40.7
Fulton NY,351,28,100.1669982,13.85,53.6,37.4,9.3,20.9,,532.94,"53,383",56.1,51.1,37.7,37.1
Genesee,355,6,115.6307407,13.57,53.85,38.1,8.9,20.6,,495.37,"57,280",55.9,51.8,38.1,38.1
Greene,372,15,71.69358392,13.25,52.7,36.8,9.5,20.4,,658.19,"47,188",53.0,52.4,35.2,38.4
Hamilton,15,1,2.442612976,12.47,57.35,35.8,9.5,21.4,,1807.9,"4,416",59.1,55.6,36.2,35.4
Herkimer,355,10,42.04366249,13.35,53.6,38.0,9.4,22.2,,1458.46,"61,319",58.1,49.1,38.6,37.4
Jefferson,177,1,59.13478881,13.76,53.45,39.5,8.3,19.3,,1857.35,"109,834",55.8,51.1,38.4,40.5
Lewis,54,5,20.38465414,13.28,53.4,38.5,8.2,19.8,,1289.99,"26,296",58.2,48.6,39.0,37.9
Livingston,216,6,98.22791925,13.59,53.85,38.9,9.4,20.9,,640.49,"62,914",58.1,49.6,38.4,39.3
Madison NY,505,9,107.232904,12.78,56.95,36.8,9.3,21.0,,661.56,"70,941",61.0,52.9,37.1,36.5
Monroe NY,6317,260,543.0433032,12.91,57.6,37.5,7.9,18.5,,1365.95,"741,770",60.1,55.1,35.1,39.8
Montgomery NY,242,9,119.9488242,14.41,54,38.9,8.0,20.9,,410.35,"49,221",55.6,52.4,37.9,39.8
Nassau NY,47656,2204,2993.302744,11.46,51.65,29.5,7.0,19.4,,453.32,"1,356,924",52.4,50.9,30.3,28.7
New York City NY,253398,23874,48358.25416,13.11,58.3,22.3,9.9,23.0,,33.68,"1,628,706",60.8,55.8,19.1,25.4
Niagara,1855,89,183.5975401,14.81,54.25,38.9,8.7,20.3,,1139.89,"209,281",57.9,50.6,39.7,38.0
Oneida,2503,125,181.894906,13.41,51.6,35.8,8.7,21.2,,1257.16,"228,671",52.7,50.5,36.5,35.1
Onondaga,4669,182,571.5661574,12.87,57.1,36.2,8.4,21.3,,805.73,"460,528",59.5,54.7,37.2,35.2
Ontario,505,28,165.7111373,12.25,58.5,36.0,9.1,20.9,,662.46,"109,777",63.5,53.5,34.6,37.4
Orange NY,12679,414,459.0378974,13.72,52.6,36.1,7.4,19.1,,838.58,"384,940",55.7,49.5,35.9,36.3
Orleans NY,342,55,49.35843333,14.53,52,41.3,7.3,18.1,,817.53,"40,352",54.4,49.6,40.0,42.6
Oswego,536,3,89.25637469,13.88,52.95,40.2,9.5,22.3,,1312.22,"117,124",55.7,50.2,40.2,40.1
Otsego,354,4,58.59993696,11.33,57.05,34.7,10.1,22.4,,1015.24,"59,493",59.9,54.2,34.6,34.8
Putnam NY,1669,63,399.2366102,11.66,59.15,32.5,8.9,21.5,,246.27,"98,320",59.6,58.7,34.5,30.5
Rensselaer NY,958,42,238.5026899,12.84,55.25,34.5,8.7,20.5,,665.46,"158,714",56.3,54.2,33.5,35.4
Rockland NY,16454,509,1634.174358,12.72,52.8,32.1,6.7,17.8,,199.36,"325,789",54.6,51.0,34.4,29.7
Saratoga NY,1122,15,38.18387375,13.83,60.75,32.6,9.6,21.0,,2821.61,"107,740",62.1,59.4,33.4,31.8
Schenectady,1438,47,272.4205362,11.64,56.05,35.1,8.3,19.8,,843.78,"229,863",55.7,56.4,33.9,36.3
Schoharie,88,2,740.7889716,13.35,56.55,36.8,9.5,20.4,,209.64,"155,299",58.1,55.0,36.0,37.6
Schuyler,62,0,49.50493468,13.18,53.35,36.0,10.0,22.3,,626.18,"30,999",54.3,52.4,35.4,36.5
Seneca,114,1,51.44152993,13.13,49.8,38.9,9.3,19.0,,346.16,"17,807",50.7,48.9,37.9,39.8
Steuben,608,55,87.10214324,13.59,54.15,39.6,10.0,22.2,,390.53,"34,016",56.9,51.4,38.4,40.8
St. Lawrence,339,4,67.92553608,13.53,53.25,37.7,8.5,19.3,,1404.17,"95,379",56.5,50.0,36.4,39.0
Suffolk NY,47196,2016,622.148488,11.99,54.55,32.9,7.8,20.3,,2373.39,"1,476,601",56.5,52.6,35.2,30.5
Sullivan NY,1633,37,75.66428937,14.17,53.25,37.2,9.4,20.6,,996.93,"75,432",54.0,52.5,36.1,38.2
Tioga,304,23,92.17692278,12.84,56.9,37.8,8.7,19.8,,522.94,"48,203",56.4,57.4,36.9,38.6
Tompkins,465,0,207.8307739,12.37,61.85,30.9,10.8,21.1,,491.65,"102,180",62.1,61.6,30.3,31.4
Ulster,2343,84,152.972037,13.08,57.15,35.3,9.3,21.1,,1160.82,"177,573",59.2,55.1,35.4,35.1
Warren NY,427,30,68.62932395,11.8,58.95,33.3,10.8,22.1,,931.73,"63,944",60.3,57.6,33.0,33.5
Washington NY,314,14,72.35285078,12.81,54.85,36.1,8.7,19.8,,845.91,"61,204",50.9,58.8,35.0,37.2
Wayne NY,347,3,64.96120447,13.6,56.1,39.0,8.5,19.5,,1384.18,"89,918",60.1,52.1,37.9,40.1
Westchester NY,38693,1459,1934.199636,11.88,58.3,26.3,6.8,18.7,,500.21,"967,506",60.6,56.0,27.6,24.9
Wyoming NY,147,5,66.82369903,13.45,52.55,38.3,8.6,20.1,,596.48,"39,859",56.7,48.4,40.3,36.2
Yates NY,67,6,66.99744521,12.69,50.85,37.2,12.1,22.3,,371.85,"24,913",53.8,47.9,35.9,38.5
Alamance NC,4287,59,389.8551058,15.59,51.15,39.2,5.9,14.4,,434.8,"169,509",53.3,49.0,37.9,40.5
Alexander NC,575,8,142.4171066,14.52,49.95,38.1,5.6,12.1,,263.29,"37,497",52.4,47.5,38.3,37.8
Alleghany NC,245,0,47.28685462,14.21,44.7,37.1,5.1,12.0,,235.52,"11,137",46.6,42.8,35.6,38.6
Anson NC,662,6,45.50887056,18.73,46.1,42.6,4.7,11.2,,537.17,"24,446",52.7,39.5,37.7,47.4
Ashe NC,306,1,63.73562007,13.64,47.4,33.5,5.1,11.4,,426.81,"27,203",48.4,46.4,32.7,34.2
Avery NC,443,0,71.01771701,14.24,52.95,35.4,6.3,12.5,,247.22,"17,557",55.2,50.7,34.8,36.0
Beaufort,1052,28,49.05427975,15.15,48.5,44.3,6.7,14.5,,958,"46,994",52.5,44.5,39.6,49.0
Bertie,639,13,25.56191144,20,41.5,47.8,4.5,10.8,,741.22,"18,947",45.1,37.9,41.4,54.2
Bladen,968,18,36.88440512,17.9,44.35,46.8,4.9,11.5,,887.15,"32,722",47.8,40.9,42.6,51.0
Brunswick NC,1796,27,136.0112755,13.77,54.8,38.3,8.3,17.7,,1050.06,"142,820",58.6,51.0,37.8,38.7
Buncombe NC,3439,100,395.7139611,12.87,60.7,29.9,7.9,15.0,,660.05,"261,191",63.0,58.4,29.4,30.3
Burke NC,2312,43,175.7297392,15.37,45.7,36.4,5.6,12.4,,514.91,"90,485",49.1,42.3,36.1,36.6
Cabarrus NC,4278,79,592.9894252,13.96,52.6,36.7,6.7,15.9,,365.02,"216,453",56.1,49.1,35.6,37.8
Caldwell NC,1882,18,173.2543431,15.73,49.4,37.7,5.7,12.6,,474.32,"82,178",51.9,46.9,37.8,37.6
Camden NC,126,3,35.54559728,14.58,57.35,37.7,8.5,16.9,,305.72,"10,867",57.1,57.6,37.4,38.0
Carteret NC,839,5,51.4017032,13.09,52.65,35.4,9.3,17.9,,1351.57,"69,473",55.5,49.8,34.2,36.6
Caswell NC,475,5,52.75515205,17.54,47,44.1,5.8,13.2,,428.47,"22,604",50.5,43.5,41.8,46.3
Catawba,3478,55,385.8362352,14.81,48.1,34.8,7.2,14.1,,413.52,"159,551",52.7,43.5,33.0,36.6
Chatham,1761,59,105.0086015,12,56.15,34.2,6.9,14.9,,709.18,"74,470",59.7,52.6,34.5,33.9
Cherokee,683,12,61.30836315,14.82,49.6,34.0,6.3,13.4,,466.69,"28,612",50.6,48.6,32.2,35.7
Chowan,432,4,59.75912909,16.01,43.75,43.2,5.7,13.3,,233.32,"13,943",47.3,40.2,38.6,47.8
Clay NC,141,3,50.91115141,13.71,52.25,34.6,6.1,12.2,,220.6,"11,231",53.2,51.3,33.9,35.3
Cleveland NC,2561,73,209.1499221,16.5,47.45,37.7,5.5,12.4,,468.31,"97,947",51.7,43.2,34.7,40.7
Columbus NC,1476,57,58.20645107,16.75,45.7,42.7,4.9,11.5,,953.64,"55,508",47.3,44.1,39.5,45.9
Craven,1899,46,134.072353,14.11,50.25,39.4,7.0,15.1,,761.82,"102,139",52.4,48.1,36.9,41.9
Cumberland,5993,80,509.5049355,17.09,49.15,41.3,5.3,12.6,,658.5,"335,509",52.3,46.0,38.4,44.1
Currituck,199,4,52.81349871,13.97,53.85,38.2,9.0,17.3,,525.68,"27,763",52.0,55.7,37.3,39.1
Dare,297,3,23.69956263,12.66,58.25,34.3,10.3,20.1,,1561.59,"37,009",57.1,59.4,34.3,34.3
Davidson,3090,39,295.7057921,15.18,45.9,37.3,6.2,14.8,,566.81,"167,609",49.6,42.2,36.1,38.4
Davie,620,6,160.5380494,13.07,52.3,36.0,6.9,14.6,,266.89,"42,846",54.8,49.8,36.0,35.9
Duplin,2534,54,71.70969908,17.57,40.85,45.7,5.1,12.6,,819.15,"58,741",43.1,38.6,40.7,50.7
Durham,8141,98,1078.384543,14.64,56.3,35.4,6.8,14.2,,298.12,"321,488",59.8,52.8,31.7,39.0
Edgecombe,1534,52,101.6008369,20.13,43.9,48.3,4.6,11.4,,506.61,"51,472",46.8,41.0,43.1,53.5
Forsyth,7501,104,925.8555133,14.31,51.7,32.5,6.2,13.8,,412.91,"382,295",55.2,48.2,30.8,34.2
Franklin NC,1315,31,141.0227871,15.69,46.5,42.9,4.9,11.9,,494.14,"69,685",47.6,45.4,40.2,45.6
Gaston,5852,94,617.0922083,16.29,48.9,35.9,6.1,14.2,,363.85,"224,529",54.0,43.8,34.0,37.7
Gates,154,3,33.4519573,17.33,49,42.7,6.4,13.2,,345.63,"11,562",51.3,46.7,40.1,45.2
Graham,208,5,27.9864726,15.35,48.45,38.2,4.8,12.0,,301.61,"8,441",49.2,47.7,35.2,41.2
Granville,1807,50,112.6407007,16.62,49.1,41.9,4.9,11.8,,536.6,"60,443",51.9,46.3,39.3,44.5
Greene,717,7,79.23357527,18.26,42.2,44.6,5.3,12.4,,265.91,"21,069",44.5,39.9,39.5,49.7
Guilford,9411,191,816.7089839,14.68,54.85,34.9,6.4,14.7,,657.73,"537,174",56.8,52.9,32.9,36.9
Halifax,1124,22,68.41594046,19.41,40.65,48.9,5.0,11.7,,730.97,"50,010",42.9,38.4,44.3,53.4
Harnett,2488,60,226.1367038,16.15,48.65,40.1,5.2,12.6,,601.3,"135,976",51.6,45.7,37.9,42.3
Haywood,638,31,112.3132378,13.56,55.9,33.5,7.2,14.3,,554.85,"62,317",57.0,54.8,32.6,34.3
Henderson,2152,65,313.2372949,13.36,58.75,30.8,7.0,14.7,,374.85,"117,417",61.8,55.7,29.2,32.4
Hertford,813,33,65.61815814,19.88,41.55,45.8,5.1,11.7,,360.83,"23,677",44.3,38.8,39.0,52.5
Hoke,1342,18,140.7701914,19.66,48.25,41.7,4.8,12.7,,392.37,"55,234",50.1,46.4,38.0,45.3
Hyde,145,5,3.466994382,17.61,46.05,44.9,8.9,17.2,,1424,"4,937",47.9,44.2,41.3,48.5
Iredell,3286,34,306.3698561,13.91,52.2,35.9,7.4,15.4,,593.42,"181,806",57.1,47.3,36.8,35.0
Jackson NC,731,7,88.87855004,14.66,53.45,35.5,6.5,13.5,,494.36,"43,938",57.7,49.2,33.7,37.3
Johnston,4850,57,263.0217364,15.49,50.75,41.7,5.3,13.4,,795.9,"209,339",56.1,45.4,39.8,43.5
Jones NC,164,14,19.84033366,16.21,47,42.8,8.0,16.4,,474.74,"9,419",49.3,44.7,38.5,47.1
Lee NC,1786,15,238.1978717,15.78,49.25,37.9,5.3,12.5,,259.36,"61,779",51.6,46.9,37.0,38.8
Lenoir,1093,33,139.1385442,17.65,42.2,44.9,5.5,12.5,,402.11,"55,949",44.4,40.0,39.7,50.1
Lincoln NC,1889,15,280.4370481,14.66,51.75,34.2,6.8,14.7,,307.06,"86,111",55.6,47.9,33.3,35.1
Macon NC,666,2,102.493112,15.35,54.8,33.3,6.2,13.6,,446.43,"45,756",56.0,53.6,32.0,34.6
Madison NC,123,1,69.0320345,13.61,49.75,36.6,5.2,10.9,,519.44,"35,858",50.9,48.6,34.5,38.6
Martin NC,532,15,48.17209539,14.35,46.85,46.9,5.3,12.1,,451.61,"21,755",48.6,45.1,42.0,51.7
McDowell NC,1106,29,48.47699287,17.79,47.65,38.6,5.7,12.3,,462.9,"22,440",50.5,44.8,36.3,40.9
Mecklenburg,29963,365,2019.783898,14.58,55.3,33.0,8.1,16.9,,549.74,"1,110,356",58.8,51.8,32.3,33.6
Mitchell,172,3,67.35989196,14.56,49.35,36.0,5.5,11.5,,222.15,"14,964",53.3,45.4,34.4,37.6
Montgomery NC,1076,36,54.22670126,16.39,43.2,41.3,5.0,12.4,,501.1,"27,173",47.9,38.5,37.3,45.2
Moore NC,1899,36,142.8308485,12.76,52.3,33.8,7.1,14.7,,706.29,"100,880",53.0,51.6,33.8,33.8
Nash,2701,50,173.750737,16.57,46.2,41.5,5.4,12.6,,542.72,"94,298",49.1,43.3,37.5,45.5
New Hanover,4582,33,715.0093008,12.41,56.75,33.0,10.7,18.9,,327.93,"234,473",58.6,54.9,33.2,32.8
Northampton NC,498,17,35.40689856,20.61,39.1,47.7,6.1,13.0,,550.26,"19,483",42.1,36.1,41.9,53.5
Onslow NC,2505,26,217.8830108,15.4,52.65,37.0,6.3,14.5,,908.46,"197,938",56.5,48.8,34.1,39.9
Orange NC,2795,57,370.1258881,11.73,60.2,24.2,8.9,17.5,,401.15,"148,476",61.5,58.9,22.5,25.8
Pamlico NC,279,2,22.47456909,14.48,50.15,40.2,7.7,15.4,,566.24,"12,726",53.4,46.9,37.1,43.2
Pasquotank NC,768,33,137.5850751,16.88,47.55,42.4,5.7,13.3,,289.45,"39,824",50.8,44.3,40.0,44.8
Pender NC,1083,8,67.61088893,14.75,51.85,40.4,6.9,15.0,,932.69,"63,060",55.3,48.4,38.8,41.9
Perquimans,201,3,40.92719258,15.87,51.65,39.4,6.3,13.4,,328.95,"13,463",53.9,49.4,37.7,41.1
Person,487,8,97.72333581,15.74,50.5,43.5,5.7,13.1,,404.1,"39,490",53.5,47.5,41.9,45.0
Pitt,5343,33,276.0220522,14.6,48.85,41.1,6.7,14.6,,654.81,"180,742",50.8,46.9,37.5,44.6
Polk,340,11,86.86394501,13.52,58.75,30.0,7.4,14.3,,238.58,"20,724",60.9,56.6,28.9,31.1
Randolph,3089,55,181.8638682,14.79,49.3,36.7,5.8,14.0,,789.97,"143,667",53.0,45.6,35.3,38.0
Richmond NC,1141,20,93.46384789,17.36,45.05,40.5,5.1,12.4,,479.64,"44,829",48.7,41.4,37.2,43.8
Robeson,5040,84,137.3453058,21.6,39.3,47.7,4.5,11.1,,951.07,"130,625",40.4,38.2,41.3,54.0
Rockingham,1467,17,159.0110946,16.4,45.4,41.6,5.3,12.6,,572.35,"91,010",47.5,43.3,39.4,43.7
Rowan,3671,105,271.2172403,15.33,47.6,39.3,6.0,13.8,,523.89,"142,088",51.1,44.1,38.2,40.3
Rutherford,1407,43,118.4299799,15.1,46.75,37.0,5.4,11.7,,565.98,"67,029",49.1,44.4,34.4,39.5
Sampson,2363,28,67.05047968,17.48,44.5,46.4,4.8,11.7,,947.51,"63,531",45.2,43.8,41.2,51.5
Scotland NC,1400,17,108.6012787,18.5,47.35,43.8,5.1,12.4,,320.65,"34,823",52.2,42.5,39.8,47.7
Stanly,2171,56,155.3450408,14.37,48.45,36.8,6.2,13.3,,404.3,"62,806",53.0,43.9,35.2,38.4
Stokes,525,4,100.0021935,14.63,48.55,37.7,5.6,13.0,,455.9,"45,591",51.5,45.6,35.8,39.6
Surry,1451,23,133.4727878,14.87,46.3,39.2,4.7,11.7,,537.81,"71,783",47.4,45.2,37.4,40.9
Swain,172,3,26.39600481,17.28,48.7,38.7,5.7,13.5,,540.65,"14,271",51.4,46.0,36.2,41.1
Transylvania,349,9,90.35131513,12.76,59.55,31.2,6.7,14.1,,380.57,"34,385",60.3,58.8,31.0,31.3
Tyrrell,117,3,6.689765458,19.16,43.2,45.6,6.3,13.3,,600.32,"4,016",42.9,43.5,41.8,49.3
Union,5232,59,374.9906197,13.44,55.25,35.2,6.7,14.8,,639.64,"239,859",57.5,53.0,36.4,34.0
Vance,1099,46,165.0361312,18.88,44.25,47.1,4.5,11.3,,269.85,"44,535",48.8,39.7,43.0,51.1
Wake,19056,260,1296.514286,12.91,54.15,32.2,7.6,16.1,,857.5,"1,111,761",58.2,50.1,31.0,33.4
Warren,370,7,44.45621071,19.09,42.95,47.5,5.1,11.9,,443.83,"19,731",47.0,38.9,42.4,52.5
Washington NC,222,8,27.29458351,19.2,45.7,46.3,4.9,11.2,,424.26,"11,580",48.9,42.5,40.9,51.7
Watauga NC,1122,2,179.6169587,13.06,56.05,30.7,8.4,14.7,,312.76,"56,177",57.9,54.2,28.0,33.4
Wayne NC,3712,73,221.172223,17.17,43,41.7,5.1,12.5,,556.72,"123,131",46.4,39.6,37.7,45.6
Wilkes NC,1359,35,90.0205274,14.56,47.15,38.0,4.6,10.8,,759.96,"68,412",49.6,44.7,35.4,40.5
Wilson NC,2433,58,218.5497876,17.41,40.4,44.0,5.4,13.2,,374.29,"81,801",41.8,39.0,39.4,48.5
Yadkin NC,798,9,111.5960063,14.51,47.95,39.0,5.3,12.0,,337.53,"37,667",48.5,47.4,37.6,40.4
Yancey NC,224,0,57.70446779,14.37,52.2,34.4,5.9,12.2,,313.13,"18,069",55.9,48.5,33.5,35.3
Adams ND,29,0,2.240896359,10.17,57.35,32.1,11.6,32.2,,988.89,"2,216",57.6,57.1,32.2,31.9
Barnes,262,1,6.882128273,11.98,55.45,36.1,9.3,27.0,,1513.34,"10,415",56.7,54.2,36.9,35.3
Benson,375,7,4.746455096,18.12,48.95,43.7,14.7,27.5,,1439.39,"6,832",50.2,47.7,39.5,47.8
Billings,20,0,0.804528943,12.47,57.45,35.6,11.9,29.3,,1153.47,928,57.6,57.3,35.7,35.5
Bottineau,121,9,3.700017081,12.65,54,36.3,9.5,27.9,,1697.83,"6,282",54.9,53.1,36.6,36.0
Bowman,55,0,2.591193028,11.5,55.6,34.4,12.2,32.8,,1167.03,"3,024",55.5,55.7,34.6,34.2
Burke,40,1,1.872791832,12.84,55.9,37.3,10.7,33.0,,1129.33,"2,115",57.1,54.7,38.9,35.7
Burleigh,4356,56,57.32561207,11.16,54.9,33.2,7.7,24.6,,1668.12,"95,626",56.8,53.0,34.2,32.2
Cass,6081,78,102.8976244,10.87,54.25,34.7,8.5,24.7,,1768,"181,923",54.4,54.1,35.2,34.1
Cavalier,57,0,2.491027797,11.86,54.15,35.6,12.2,32.7,,1510.22,"3,762",54.8,53.5,36.1,35.1
Dickey,152,0,4.267096413,11.81,53.9,35.7,8.2,21.9,,1141.76,"4,872",54.2,53.6,36.1,35.3
Divide,21,1,1.749289158,12.12,55.4,37.1,9.7,27.8,,1294.24,"2,264",56.3,54.5,38.2,35.9
Dunn,146,3,2.124492168,13.06,54.9,36.9,13.2,31.8,,2082.38,"4,424",55.6,54.2,36.3,37.5
Eddy,112,3,3.549809083,12.92,53.05,35.4,9.7,27.1,,644.26,"2,287",54.0,52.1,35.6,35.2
Emmons,231,5,2.084485664,12.45,49.15,38.3,11.4,29.2,,1554.82,"3,241",49.6,48.7,38.5,38.1
Foster,77,1,4.963277928,11.84,56,34.1,7.0,22.4,,646.75,"3,210",56.7,55.3,34.8,33.4
Golden Valley,79,0,1.756783719,12.19,58,35.8,11.9,27.5,,1002.4,"1,761",58.1,57.9,35.9,35.6
Grand Forks,2511,14,48.23287567,11.28,55.85,37.0,8.6,24.6,,1439.91,"69,451",57.7,54.0,37.8,36.2
Grant ND,43,1,1.364929593,12.51,53.5,36.9,9.8,25.7,,1666.02,"2,274",53.7,53.3,36.2,37.5
Griggs,61,1,3.115008168,12.03,55,35.5,9.4,26.4,,716.21,"2,231",55.5,54.5,36.1,34.9
Hettinger,74,0,2.204131313,12.44,53.25,35.2,12.1,31.3,,1133.78,"2,499",53.4,53.1,35.0,35.4
Kidder,62,0,1.730272797,12.32,48.6,38.0,9.4,29.8,,1433.3,"2,480",48.8,48.4,38.1,37.8
LaMoure,115,0,3.515631788,11.81,55.3,35.9,11.2,31.1,,1150.86,"4,046",55.6,55.0,36.4,35.3
Logan ND,87,0,1.829618055,12.6,46.7,40.7,12.0,32.9,,1011.14,"1,850",47.1,46.3,40.7,40.6
McHenry,113,6,3.004974292,13.12,53.4,37.5,9.6,28.6,,1911.83,"5,745",54.7,52.1,37.9,37.0
McIntosh,102,3,2.509245116,12.33,44.2,40.2,9.4,26.9,,995.12,"2,497",44.1,44.3,40.0,40.3
McKenzie,310,2,5.251218958,13.36,54.8,38.3,8.9,23.8,,2861.05,"15,024",56.2,53.4,37.4,39.2
McLean,340,4,4.058807613,12.97,54.65,37.1,9.7,28.8,,2328.27,"9,450",55.9,53.4,37.4,36.7
